UniqueID,Location,Latitude,Longitude,Date (Gregorian Calendar),Hour (UTC),Tornado,Waterspout,Max. EF Rating,Fatalities,Injured,Region,Comune
CL0095,Penco,-36.7368500124749,-73.0005757077109,2024-06-18,09:00:00,1,0.0,0,0,0,CL-BI,penco
CL0096,Folilco (Los Lagos),-39.8717180511301,-72.6595497314276,2024-06-20,03:00:00,1,0.0,1,0,0,CL-LR,los lagos
CL0097,Malalhue (Lanco),-39.539336396996,-72.49742103114,2024-06-20,21:01:00,1,0.0,1,0,0,CL-LR,lanco
CL0098,Dadinco-Las Mariposas (cercanías de Chillán),-36.6409655732376,-71.9853310043988,2024-06-21,20:30:00,1,0.0,0,0,0,CL-NB,chillan
CL0099,Los Ángeles,-37.4856,-72.3155,2025-05-17,17:20:00,1,0.0,0,0,0,,
CL0100,Puerto Varas,-41.3218754547657,-72.985342023327,2025-05-25,19:05:00,1,0.0,2,0,19,,
CL0101,Quintay,-33.17567,-71.72085,2025-08-01,18:00:00,1,1.0,0,0,0,,
CL0102,La Vara - Senda Sur (Puerto Montt),-41.4325033562569,-72.8645708218883,2025-08-02,19:06:00,1,0.0,0,0,0,,
CL0103,Pilolcura,-39.6766132363272,-73.3487452845558,2025-09-13,17:00:00,0,1.0,0,0,0,,
CL0104,Linares,-35.8335498775962,-71.5754872900226,2025-09-20,17:49:00,1,1.0,0,0,0,,
CL0105,San Pedro de la Paz,-36.8257100937822,-73.1450330917061,2025-09-20,17:30:00,1,1.0,0,0,0,,
CL0106,Chaihuín,-39.9050458775944,-73.5800504841718,2025-09-20,18:30:00,0,1.0,0,0,0,,
CL0107,Caleta La Arena - Puelche (Seno del Reloncaví),-41.690645,-72.644512,2026-06-20,20:20:00,0,1.0,0*,0,0,CL-LL,puerto montt
CL0109,"Sector Pangal,  sur de Cahuil en Pichilemu",-34.4834,-72.0193,2026-07-18,22:08:00,0,1.0,0,0,,,
CL0110,"Lago Llanquihue, Playa Centinela Comuna de Puerto Octay",-40.993367,-72.875617,2026-07-24,21:16:00,0,1.0,0,,,,
CL0111,"Provincia de Diguillín (comunas de Chillán Viejo, Bulnes, San Ignacio, El Carmen, Pemuco)",-36.7299369229579,-72.2196817288348,2026-07-27,17:30:00,1,0.0,0,0,0,,
